Date,Cumulative Percentage Returns,Account Balance,Short/Long,Entry Price,Exit Price,PnL,Exit Reason
2023-02-01 18:15:00,1.239744000000006,101239.744,Long,1568.3836139999999,1578.105584875774,1239.7440000000033,Take Profit
2023-02-01 19:45:00,-0.5737375642645638,99426.26243573544,Short,1606.438648,1621.0048823613506,-1813.4815642645758,Stop Loss
2023-02-05 17:00:00,-1.3620111246870075,98637.98887531299,Long,1641.9883320000001,1635.5166520568114,-788.2735604224434,Stop Loss
2023-02-05 18:45:00,-2.5556877747113904,97444.31222528861,Long,1622.9445239999998,1613.2581690870811,-1193.67665002438,Stop Loss
2023-02-05 21:00:00,-3.507068029325121,96492.93197067488,Long,1619.803896,1612.098648784996,-951.3802546137307,Stop Loss
2023-02-06 16:15:00,-4.506856782911505,95493.1432170885,Short,1648.680198,1656.9218576011049,-999.7887535863831,Stop Loss
2023-02-06 23:15:00,-5.333348673185479,94666.65132681452,Long,1616.053146,1609.3748719028963,-826.4918902739685,Stop Loss
2023-02-07 18:15:00,-4.09309267318547,95906.90732681453,Short,1671.4056520000001,1661.0407975583655,1240.2560000000087,Take Profit
2023-02-08 00:45:00,-5.044725374780042,94955.27462521996,Short,1679.703992,1687.6962982389307,-951.6327015945704,Stop Loss
2023-02-08 16:15:00,-6.097667556039508,93902.33244396049,Long,1642.848504,1634.199381563597,-1052.9421812594721,Stop Loss
2023-02-09 03:00:00,-6.887125829262208,93112.87417073779,Long,1632.72648,1626.2816328622712,-789.4582732226963,Stop Loss
2023-02-09 06:45:00,-5.647381829262202,94352.6181707378,Long,1622.8845119999999,1632.9443186822245,1239.744000000006,Take Profit
2023-02-09 19:30:00,-6.989960860908496,93010.0391390915,Long,1587.077352,1576.4234681280204,-1342.5790316462896,Stop Loss
2023-02-15 12:15:00,-7.899857221879662,92100.14277812034,Short,1582.1335100000001,1589.3313976165978,-909.8963609711615,Stop Loss
2023-02-15 14:15:00,-6.659601221879667,93340.39877812033,Short,1583.213294,1573.3953450641836,1240.2559999999944,Take Profit
2023-02-21 22:30:00,-5.419857221879662,94580.14277812034,Long,1639.497834,1649.6606220135725,1239.7440000000004,Take Profit
2023-02-22 02:30:00,-6.51091987995118,93489.08012004882,Long,1638.3075959999999,1629.3701147978472,-1091.0626580715239,Stop Loss
2023-02-22 07:15:00,-5.271175879951174,94728.82412004883,Long,1633.266588,1643.3907502643674,1239.74400000001,Take Profit
2023-02-22 09:15:00,-4.0314318799511675,95968.56812004883,Long,1625.885112,1635.9635185614566,1239.743999999999,Take Profit
2023-02-23 03:00:00,-4.915662328762991,95084.33767123701,Short,1668.5662200000002,1675.9432052879145,-884.23044881183,Stop Loss
2023-02-26 20:15:00,-5.574678797386339,94425.32120261366,Short,1632.1335080000001,1637.5115223038201,-659.0164686233511,Stop Loss
2023-02-26 22:15:00,-4.334422797386316,95665.57720261368,Short,1644.261082,1634.0645586374148,1240.256000000022,Take Profit
2023-02-27 15:30:00,-3.094166797386337,96905.83320261366,Short,1660.6678,1650.369533985216,1240.255999999982,Take Profit
2023-02-27 20:00:00,-4.117993489184155,95882.00651081585,Long,1619.8138979999999,1611.5218544774125,-1023.8266917978243,Stop Loss
