Date,Cumulative Percentage Returns,Account Balance,Short/Long,Entry Price,Exit Price,PnL,Exit Reason
2025-01-30 13:30:00,-0.766807710019406,99233.1922899806,Short,3260.8576980000003,3273.359952120513,-766.8077100194017,Stop Loss
2025-01-30 15:15:00,0.47344828998060257,100473.4482899806,Short,3270.585752,3250.3039339878374,1240.2560000000028,Take Profit
2025-01-31 12:00:00,-0.4779285881969263,99522.07141180307,Short,3328.68413,3344.5182955801924,-951.3768781775245,Stop Loss
2025-01-31 14:30:00,-1.3742987718928925,98625.70122810711,Short,3359.328,3374.384007282275,-896.3701836959657,Stop Loss
2025-01-31 15:45:00,-2.540196741366686,97459.80325863331,Short,3400.3098019999998,3420.131873468668,-1165.8979694737902,Stop Loss
2025-02-01 19:30:00,-3.543012529582949,96456.98747041705,Long,3208.4915699999997,3192.403939986226,-1002.8157882162574,Stop Loss
2025-02-01 21:45:00,-4.740885067204989,95259.11493279501,Long,3171.554184,3152.5585957070307,-1197.8725376220395,Stop Loss
2025-02-01 23:00:00,-5.893168653522647,94106.83134647735,Long,3138.567588,3120.484988418995,-1152.283586317662,Stop Loss
2025-02-02 03:00:00,-6.800068215850014,93199.93178414999,Long,3116.433162,3102.3017026467983,-906.8995623273718,Stop Loss
2025-02-14 16:15:00,-5.55981221585002,94440.18778414998,Short,2733.783134,2716.8301793267883,1240.2559999999971,Take Profit
2025-02-14 17:45:00,-6.861135296744382,93138.86470325562,Short,2742.2514400000005,2760.0942154624395,-1301.323080894363,Stop Loss
2025-02-16 14:15:00,-7.499567421728716,92500.43257827128,Long,2685.847062,2677.273406764122,-638.4321249843414,Stop Loss
2025-02-16 18:30:00,-8.179845462306227,91820.15453769377,Long,2670.1539239999997,2661.0716886027044,-680.2780405775092,Stop Loss
2025-02-16 21:30:00,-6.940101462306236,93059.89853769376,Long,2666.13312,2682.659732693606,1239.7439999999879,Take Profit
2025-02-17 09:30:00,-7.931489771053006,92068.510228947,Short,2714.05708,2727.510502291917,-991.3883087467653,Stop Loss
