Date,Open,High,Low,Close,Volume
2025-07-28 22:45:00,3776.53,3787.44,3770.0,3787.04,2855.6296
2025-07-28 23:00:00,3787.05,3789.36,3775.0,3787.79,3592.9966
2025-07-28 23:15:00,3787.81,3800.18,3784.0,3786.01,4640.2153
2025-07-28 23:30:00,3786.01,3800.36,3783.25,3788.49,3235.3716
2025-07-28 23:45:00,3788.48,3799.01,3775.02,3799.0,14857.916
2025-07-29 00:00:00,3799.0,3809.0,3788.56,3808.84,9746.8097
2025-07-29 00:15:00,3808.84,3821.48,3808.05,3809.99,5699.7596
2025-07-29 00:30:00,3810.0,3816.98,3744.3,3755.2,20731.8855
2025-07-29 00:45:00,3755.2,3780.67,3747.78,3780.34,5619.1015
2025-07-29 01:00:00,3780.35,3787.36,3768.95,3783.68,3920.3988
2025-07-29 01:15:00,3783.68,3798.0,3781.81,3795.21,3451.9395
2025-07-29 01:30:00,3795.22,3798.76,3785.64,3786.07,2543.4834
2025-07-29 01:45:00,3786.08,3786.37,3758.0,3758.88,4071.4563
2025-07-29 02:00:00,3758.89,3773.59,3757.32,3770.62,3365.5705
2025-07-29 02:15:00,3770.63,3771.4,3731.21,3758.89,13928.0958
2025-07-29 02:30:00,3758.9,3765.52,3745.38,3754.44,3107.1909
2025-07-29 02:45:00,3754.43,3761.57,3742.43,3759.13,4686.8479
2025-07-29 03:00:00,3759.13,3783.29,3758.77,3782.56,5907.9158
2025-07-29 03:15:00,3782.55,3786.7,3775.26,3783.56,2206.7179
2025-07-29 03:30:00,3783.55,3789.94,3775.07,3789.5,4730.7461
2025-07-29 03:45:00,3789.5,3797.98,3778.51,3791.9,4592.5252
2025-07-29 04:00:00,3791.91,3801.88,3789.18,3801.43,3110.229
2025-07-29 04:15:00,3801.42,3801.43,3787.38,3789.4,2687.481
2025-07-29 04:30:00,3789.4,3794.78,3782.45,3784.82,2964.3746
2025-07-29 04:45:00,3784.82,3787.9,3775.77,3778.48,2526.1782
2025-07-29 05:00:00,3778.48,3794.11,3778.47,3789.59,2239.3851
2025-07-29 05:15:00,3789.58,3793.99,3782.8,3791.15,1740.3017
2025-07-29 05:30:00,3791.16,3803.94,3788.54,3799.38,3804.2292
2025-07-29 05:45:00,3799.39,3807.98,3798.06,3807.26,3176.8944
2025-07-29 06:00:00,3807.26,3812.8,3801.87,3810.56,3623.0795
2025-07-29 06:15:00,3810.57,3821.87,3810.09,3816.73,5435.0008
2025-07-29 06:30:00,3816.73,3829.48,3812.21,3821.68,5629.6471
2025-07-29 06:45:00,3821.68,3834.29,3815.16,3828.8,7540.9696
2025-07-29 07:00:00,3828.81,3843.37,3828.81,3841.47,7738.8174
2025-07-29 07:15:00,3841.46,3846.35,3832.99,3833.55,5613.1744
2025-07-29 07:30:00,3833.54,3876.45,3833.54,3874.16,17324.8974
2025-07-29 07:45:00,3874.16,3880.0,3868.4,3877.36,10330.5668
2025-07-29 08:00:00,3877.36,3886.44,3868.65,3871.47,8241.2644
2025-07-29 08:15:00,3871.47,3878.32,3860.29,3863.81,5170.9373
2025-07-29 08:30:00,3863.81,3881.13,3863.81,3877.57,4874.4109
2025-07-29 08:45:00,3877.58,3884.83,3869.39,3872.52,3157.2083
2025-07-29 09:00:00,3872.53,3879.37,3868.12,3868.26,3419.9642
2025-07-29 09:15:00,3868.26,3879.94,3864.64,3875.24,3500.3303
2025-07-29 09:30:00,3875.25,3877.17,3868.31,3877.17,2234.1547
2025-07-29 09:45:00,3877.17,3877.64,3871.88,3872.62,2340.5415
2025-07-29 10:00:00,3872.61,3874.72,3850.35,3853.27,6895.5312
2025-07-29 10:15:00,3853.27,3859.15,3841.89,3853.38,6474.7518
2025-07-29 10:30:00,3853.39,3866.48,3843.51,3846.98,4803.8095
2025-07-29 10:45:00,3846.99,3848.41,3824.0,3829.59,8745.1151
2025-07-29 11:00:00,3829.59,3830.37,3820.7,3829.99,5670.2619
2025-07-29 11:15:00,3830.0,3835.98,3825.59,3832.01,4747.4846
2025-07-29 11:30:00,3832.01,3839.98,3811.78,3815.97,9298.3332
2025-07-29 11:45:00,3815.98,3826.72,3814.46,3825.9,3419.6626
2025-07-29 12:00:00,3825.89,3844.33,3822.78,3825.01,8171.9172
2025-07-29 12:15:00,3825.01,3856.85,3825.01,3850.93,9698.8445
2025-07-29 12:30:00,3850.92,3860.22,3843.4,3855.58,4212.9597
2025-07-29 12:45:00,3855.59,3856.13,3846.72,3852.81,2011.6988
2025-07-29 13:00:00,3852.82,3859.23,3841.5,3850.56,4196.9191
2025-07-29 13:15:00,3850.57,3874.54,3849.35,3865.21,9204.6681
2025-07-29 13:30:00,3865.22,3868.2,3846.97,3853.51,4507.7825
2025-07-29 13:45:00,3853.5,3858.62,3827.49,3838.94,9247.4664
2025-07-29 14:00:00,3838.95,3840.26,3794.0,3809.8,17836.5477
2025-07-29 14:15:00,3809.8,3826.18,3803.1,3820.55,6377.4728
2025-07-29 14:30:00,3820.56,3820.76,3799.64,3807.88,6322.716
2025-07-29 14:45:00,3807.89,3813.33,3770.0,3782.26,16268.4433
2025-07-29 15:00:00,3782.25,3783.5,3762.91,3772.25,10846.5324
2025-07-29 15:15:00,3772.26,3776.48,3758.0,3760.73,8010.6257
2025-07-29 15:30:00,3760.73,3767.3,3747.0,3759.55,13452.8605
2025-07-29 15:45:00,3759.55,3771.35,3755.3,3761.57,10510.0744
2025-07-29 16:00:00,3761.56,3769.16,3750.03,3758.31,8270.6064
2025-07-29 16:15:00,3758.3,3764.09,3739.0,3747.84,10711.8806
2025-07-29 16:30:00,3747.85,3752.45,3716.04,3737.76,23868.1428
2025-07-29 16:45:00,3737.75,3759.3,3730.37,3751.45,10402.0287
2025-07-29 17:00:00,3751.45,3772.16,3744.52,3771.35,8726.9581
2025-07-29 17:15:00,3771.35,3785.6,3761.11,3784.16,9256.7146
2025-07-29 17:30:00,3784.16,3793.59,3759.62,3759.63,6923.0076
2025-07-29 17:45:00,3759.63,3774.03,3758.9,3769.74,4946.0512
2025-07-29 18:00:00,3769.73,3776.42,3752.62,3762.55,3727.6973
2025-07-29 18:15:00,3762.57,3769.26,3752.48,3768.15,2296.061
2025-07-29 18:30:00,3768.16,3776.57,3766.16,3768.01,3110.1851
2025-07-29 18:45:00,3768.01,3775.01,3762.93,3770.99,1838.361
2025-07-29 19:00:00,3771.0,3782.74,3768.53,3782.73,4098.8674
2025-07-29 19:15:00,3782.74,3797.0,3758.77,3762.58,10460.8839
2025-07-29 19:30:00,3762.58,3774.68,3761.99,3770.09,5046.6082
2025-07-29 19:45:00,3770.1,3775.86,3762.35,3765.89,3587.4587
2025-07-29 20:00:00,3765.89,3768.4,3739.14,3750.46,9164.0069
2025-07-29 20:15:00,3750.45,3784.12,3743.23,3765.15,7799.7337
2025-07-29 20:30:00,3765.15,3766.65,3745.11,3750.81,5872.0891
2025-07-29 20:45:00,3750.81,3765.5,3745.82,3765.5,3046.1691
